Flight,YearMonthDay,ScheduledDeparture,DepHour,Origin,O_WeatherStationID,O_HourlyPrecip,O_SkyConditions,O_Visibility,O_DBT,O_DewPointTemp,O_RelativeHumidityPercent,O_WindSpeed,O_WindDirection,O_WindGustValue,O_StationPressure,O_GroundHeight,O_StationHeight,O_BarometerHeight,O_Latitude,O_Longitude,O_TimeZone,ScheduledArrival,ArrHour,Destination,D_WeatherStationID,D_HourlyPrecip,D_SkyConditions,D_Visibility,D_DBT,D_DewPointTemp,D_RelativeHumidityPercent,D_WindSpeed,D_WindDirection,D_WindGustValue,D_StationPressure,D_GroundHeight,D_StationHeight,D_BarometerHeight,D_Latitude,D_Longitude,D_TimeZone,ScheduledTravelTime,Distance,ActualArrivalTimeStamp
LAX_PHX_28236,20040518,18/05/04 12:50,12,LAX,23174,0.0,FEW,10,68,62,81,14,270,0,29.70,323,326,326,33.56,-118.25,8,18/05/04 14:06,14,PHX,23183,0.0,BKN,10,94,27,9,5,VRB,0,28.70,1103,1107,1106,33.26,-111.59,7,76,370,18/05/04 14:06
PIT_DFW_30080,20040915,15/09/04 06:15,6,PIT,94823,0.0,FEW,5,61,59,93,4,110,0,28.96,1172,1203,1175,40.3,-80.14,5,15/09/04 08:11,8,DFW,3927,0.0,FEW,8,79,74,85,9,160,0,29.25,559,596,562,32.54,-97.02,6,176,1068,15/09/04 08:11
CRP_DFW_33606,20041114,14/11/04 17:30,17,CRP,12924,0.0,OVC,2.5,63,61,93,12,040,0,30.15,0,44,48,27.46,-97.31,6,14/11/04 18:50,18,DFW,3927,0.0,BKN,6,52,49,89,5,050,0,29.83,559,596,562,32.54,-97.02,6,80,354,14/11/04 18:50
DAL_LBB_36676,20040304,04/03/04 14:45,14,DAL,13960,0.0,OVC,10,69,63,81,20,150,24,28.96,509,488,512,32.51,-96.51,6,04/03/04 15:50,15,LBB,23042,0.0,FEW,10,50,43,77,21,210,0,26.21,3256,3241,3259,33.4,-101.49,6,65,293,04/03/04 18:20
ORD_SFO_43028,20040515,15/05/04 08:42,8,ORD,94846,0.0,SCT,10,50,38,63,9,050,20,29.62,655,674,658,41.59,-87.55,6,15/05/04 11:23,11,SFO,23234,0.0,FEW,10,62,50,65,21,260,28,29.90,86,18,89,37.37,-122.24,8,281,1846,15/05/04 11:23
MEM_ATL_37731,20040323,23/03/04 15:27,15,MEM,13893,0.0,SCT,10,63,28,27,11,180,0,29.99,283,332,286,35.04,-89.59,6,23/03/04 17:51,17,ATL,13874,0.0,FEW,10,58,19,22,0,000,0,29.36,971,1026,974,33.38,-84.26,5,84,332,23/03/04 17:51
ALB_ATL_52151,20040519,19/05/04 08:00,8,ALB,14735,0.0,FEW,10,59,46,62,8,020,0,29.89,278,292,281,42.45,-73.48,5,19/05/04 10:31,10,ATL,13874,0.0,FEW,10,73,65,76,5,280,0,29.21,971,1026,974,33.38,-84.26,5,151,852,19/05/04 10:31
IAD_ATL_29321,20040723,23/07/04 13:50,13,IAD,93738,0.0,SCT,8,84,71,65,8,170,0,29.57,306,323,309,38.56,-77.27,5,23/07/04 15:38,15,ATL,13874,0.0,FEW,10,92,63,38,13,320,17,28.91,971,1026,974,33.38,-84.26,5,108,533,23/07/04 15:38
LAX_FLL_54211,20040302,02/03/04 10:35,10,LAX,23174,0.0,BKN,10,57,49,75,9,070,0,29.41,323,326,326,33.56,-118.25,8,02/03/04 18:15,18,FLL,12849,0.0,FEW,10,74,62,67,10,110,0,30.11,117,11,120,26.04,-80.09,5,280,2342,02/03/04 18:15
ATL_PFN_44596,20040316,16/03/04 07:39,7,ATL,13874,0.0,FEW,6,59,57,93,8,260,0,28.86,971,1026,974,33.38,-84.26,5,16/03/04 08:02,8,PFN,3882,0.09,BKN,3,68,67,96,4,310,0,29.92,39,18,42,30.13,-85.41,6,83,247,16/03/04 08:02
STL_ORD_34197,20040501,01/05/04 07:00,7,STL,13994,0.0,BKN,8,51,49,92,9,340,0,29.24,707,710,710,38.45,-90.22,6,01/05/04 08:04,8,ORD,94846,0.0,FEW,10,48,43,83,5,040,0,29.37,655,674,658,41.59,-87.55,6,64,258,01/05/04 08:04
LAX_ORD_33160,20041123,23/11/04 11:00,11,LAX,23174,0.0,SCT,8,62,50,65,5,150,0,29.74,323,326,326,33.56,-118.25,8,23/11/04 17:05,17,ORD,94846,0.0,SCT,10,45,37,74,8,350,0,29.23,655,674,658,41.59,-87.55,6,245,1745,23/11/04 17:05
EWR_PIT_26535,20040729,29/07/04 18:00,18,EWR,14734,0.0,SCT,10,80,67,64,5,190,0,30.04,25,30,28,40.43,-74.1,5,29/07/04 19:32,19,PIT,94823,0.0,FEW,10,76,65,69,0,000,0,28.78,1172,1203,1175,40.3,-80.14,5,92,319,29/07/04 19:32
MSP_IND_54039,20040929,29/09/04 15:09,15,MSP,14922,0.0,CLR,10,67,38,35,6,160,0,29.11,871,838,874,44.53,-93.14,6,29/09/04 16:43,16,IND,93819,0.0,FEW,10,68,45,44,6,360,0,29.19,794,808,797,39.43,-86.16,5,94,503,29/09/04 16:43
MIA_LAX_35573,20040101,01/01/04 08:10,8,MIA,12839,0.0,FEW,10,72,67,84,3,030,0,30.32,26,30,29,25.49,-80.18,5,01/01/04 10:41,10,LAX,23174,0.0,FEW,10,56,35,46,4,120,0,29.85,323,326,326,33.56,-118.25,8,331,2342,01/01/04 10:41
ORD_MSP_39128,20040911,11/09/04 15:00,15,ORD,94846,0.0,FEW,10,81,57,44,11,200,0,29.38,655,674,658,41.59,-87.55,6,11/09/04 16:32,16,MSP,14922,0.0,SCT,10,79,60,52,7,010,0,29.11,871,838,874,44.53,-93.14,6,92,334,11/09/04 16:32
MDW_MSP_35677,20040930,30/09/04 17:45,17,MDW,14819,0.0,FEW,10,65,48,54,6,110,0,29.39,616,618,619,41.47,-87.45,6,30/09/04 19:25,19,MSP,14922,0.0,FEW,10,67,50,55,11,170,0,28.90,871,838,874,44.53,-93.14,6,100,349,30/09/04 19:25
MCO_JFK_49821,20040709,09/07/04 12:25,12,MCO,12815,0.0,FEW,10,92,69,47,6,170,0,30.03,95,106,98,28.26,-81.19,5,09/07/04 14:50,14,JFK,94789,0.0,BKN,10,79,53,41,12,290,0,29.95,29,22,32,40.4,-73.48,5,145,944,09/07/04 14:50
MCO_PHL_39538,20041130,30/11/04 08:20,8,MCO,12815,0.0,SCT,10,69,63,81,5,090,0,30.09,95,106,98,28.26,-81.19,5,30/11/04 10:39,10,PHL,13739,0.0,BKN,10,46,30,54,3,210,0,30.31,59,28,62,39.52,-75.14,5,139,861,30/11/04 10:39
COD_SLC_53231,20040918,18/09/04 16:29,16,COD,24045,0.0,CLR,10,82,27,13,19,190,25,29.63,0,0,0,44.37,-108.58,7,18/09/04 17:51,17,SLC,24127,0.0,FEW,10,83,27,13,20,180,26,25.35,4221,4227,4224,40.47,-111.58,7,82,298,18/09/04 17:51
ORD_GSO_54021,20040911,11/09/04 13:20,13,ORD,94846,0.0,BKN,10,83,57,41,8,200,0,29.40,655,674,658,41.59,-87.55,6,11/09/04 16:04,16,GSO,13723,0.0,SCT,10,79,61,54,7,070,0,29.21,904,886,907,36.06,-79.56,5,104,590,11/09/04 16:04
FLL_DCA_41153,20040528,28/05/04 15:30,15,FLL,12849,0.0,FEW,10,84,71,65,11,140,0,29.85,117,11,120,26.04,-80.09,5,28/05/04 18:05,18,DCA,13743,0.11,SCT,10,71,63,76,4,VRB,19,29.72,10,65,3,38.52,-77.02,5,155,899,28/05/04 18:05
CVG_SHV_36848,20040526,26/05/04 16:25,16,CVG,93814,0.0,SCT,10,69,61,76,7,350,0,28.83,882,883,885,39.02,-84.4,5,26/05/04 17:25,17,SHV,13957,0.0,FEW,10,84,68,59,9,210,0,29.54,271,259,274,32.27,-93.49,6,120,686,26/05/04 17:25
DEN_LAS_50730,20041115,15/11/04 08:46,8,DEN,3017,0.0,FEW,10,39,28,65,8,240,0,24.86,5379,5431,5382,39.5,-104.4,7,15/11/04 09:41,9,LAS,23169,0.0,CLR,10,59,36,42,4,090,0,27.96,2127,2180,2091,36.05,-115.1,8,115,629,15/11/04 09:41
TUS_LAS_37558,20041102,02/11/04 17:30,17,TUS,23160,0.0,CLR,10,60,25,26,5,330,0,27.50,2578,2555,2581,32.08,-110.58,7,02/11/04 17:45,17,LAS,23169,0.0,CLR,10,58,13,17,3,240,0,28.02,2127,2180,2091,36.05,-115.1,8,75,365,02/11/04 17:45
DFW_DEN_44453,20040312,12/03/04 15:11,15,DFW,3927,0.0,FEW,10,54,41,62,8,070,0,29.61,559,596,562,32.54,-97.02,6,12/03/04 16:10,16,DEN,3017,0.0,FEW,10,65,24,21,11,190,0,24.46,5379,5431,5382,39.5,-104.4,7,119,641,12/03/04 16:10
LAX_IAD_37245,20040902,02/09/04 11:15,11,LAX,23174,0.0,CLR,4,78,65,64,10,270,0,29.45,323,326,326,33.56,-118.25,8,02/09/04 19:14,19,IAD,93738,0.0,FEW,10,73,59,62,4,VRB,0,29.90,306,323,309,38.56,-77.27,5,299,2288,02/09/04 19:14
PHX_SEA_33657,20040915,15/09/04 15:36,15,PHX,23183,0.0,CLR,10,99,41,14,4,VRB,0,28.57,1103,1107,1106,33.26,-111.59,7,15/09/04 18:39,18,SEA,24233,0.0,SCT,10,58,50,75,12,220,0,29.43,447,450,450,47.28,-122.19,8,183,1107,15/09/04 18:39
DFW_CLT_37403,20040506,06/05/04 14:53,14,DFW,3927,0.0,BKN,10,77,61,58,13,160,0,29.49,559,596,562,32.54,-97.02,6,06/05/04 18:18,18,CLT,13881,0.0,FEW,10,76,57,52,3,190,0,29.32,721,769,724,35.13,-80.56,5,145,936,06/05/04 18:18
ORD_PDX_28596,20040531,31/05/04 12:05,12,ORD,94846,0.0,FEW,10,58,53,84,11,250,18,28.83,655,674,658,41.59,-87.55,6,31/05/04 14:15,14,PDX,24229,0.0,FEW,10,65,44,47,7,290,0,29.89,220,107,223,45.35,-122.36,8,250,1739,31/05/04 14:15
ONT_SMF_42089,20040505,05/05/04 16:30,16,ONT,3102,0.0,CLR,10,84,40,21,12,260,0,28.95,901,905,904,34.04,-117.36,8,05/05/04 17:45,17,SMF,93225,0.0,CLR,10,71,45,39,15,180,0,29.81,19,33,22,38.42,-121.35,8,75,389,05/05/04 17:45
DFW_STL_26834,20040103,03/01/04 12:17,12,DFW,3927,0.0,OVC,10,72,63,73,19,190,26,29.23,559,596,562,32.54,-97.02,6,03/01/04 14:03,14,STL,13994,0.0,OVC,10,46,38,73,15,020,0,29.14,707,710,710,38.45,-90.22,6,106,551,03/01/04 14:03
ATL_DFW_51177,20040323,23/03/04 09:25,9,ATL,13874,0.0,FEW,10,45,14,29,9,090,0,29.47,971,1026,974,33.38,-84.26,5,23/03/04 10:44,10,DFW,3927,0.0,FEW,10,65,49,56,16,170,22,29.63,559,596,562,32.54,-97.02,6,139,732,23/03/04 10:44
SEA_DFW_48929,20040515,15/05/04 06:00,6,SEA,24233,0.0,FEW,10,51,47,86,6,180,0,29.54,447,450,450,47.28,-122.19,8,15/05/04 11:48,11,DFW,3927,0.0,OVC,10,63,53,70,5,280,0,29.61,559,596,562,32.54,-97.02,6,228,1660,15/05/04 11:48
MSP_DFW_34049,20040709,09/07/04 09:39,9,MSP,14922,0.0,OVC,10,65,60,84,8,130,0,29.11,871,838,874,44.53,-93.14,6,09/07/04 12:06,12,DFW,3927,0.0,FEW,10,91,71,52,10,150,0,29.39,559,596,562,32.54,-97.02,6,147,852,09/07/04 12:06
BOI_SFO_45582,20040713,13/07/04 14:32,14,BOI,24131,0.0,CLR,10,97,31,10,8,070,0,26.95,2858,2868,2861,43.34,-116.13,7,13/07/04 15:10,15,SFO,23234,0.0,FEW,10,66,54,65,16,260,23,29.86,86,18,89,37.37,-122.24,8,98,522,13/07/04 15:10
DSM_ATL_42357,20040531,31/05/04 11:42,11,DSM,14933,0.0,FEW,10,73,52,48,17,260,26,28.55,968,963,971,41.32,-93.4,6,31/05/04 14:52,14,ATL,13874,0.0,FEW,10,73,61,66,14,220,20,28.81,971,1026,974,33.38,-84.26,5,130,743,31/05/04 14:52
BOS_ATL_41305,20040722,22/07/04 12:20,12,BOS,14739,0.0,SCT,7,84,65,53,8,120,0,29.88,19,30,180,42.22,-71.01,5,22/07/04 15:05,15,ATL,13874,0.0,FEW,4,88,67,50,10,280,0,28.95,971,1026,974,33.38,-84.26,5,165,946,22/07/04 16:54
BTR_ATL_30808,20041125,25/11/04 15:26,15,BTR,13970,0.0,CLR,10,58,32,38,3,VRB,0,30.04,67,76,70,30.32,-91.09,6,25/11/04 17:57,17,ATL,13874,0.0,FEW,10,44,27,51,8,310,0,28.97,971,1026,974,33.38,-84.26,5,91,449,25/11/04 17:57
GSO_ATL_49732,20040920,20/09/04 12:03,12,GSO,13723,0.0,FEW,10,68,46,45,13,040,19,29.37,904,886,907,36.06,-79.56,5,20/09/04 13:19,13,ATL,13874,0.0,CLR,10,71,48,44,12,050,21,29.18,971,1026,974,33.38,-84.26,5,76,306,20/09/04 13:19
CLT_FLL_31293,20040702,02/07/04 12:20,12,CLT,13881,0.0,BKN,5,79,69,72,0,000,0,29.29,721,769,724,35.13,-80.56,5,02/07/04 14:16,14,FLL,12849,0.0,FEW,10,89,75,63,12,090,0,29.89,117,11,120,26.04,-80.09,5,116,631,02/07/04 14:16
LGA_RIC_44477,20041108,08/11/04 11:25,11,LGA,14732,0.0,BKN,10,48,28,46,17,320,0,30.06,36,31,39,40.47,-73.53,5,08/11/04 12:56,12,RIC,13740,0.0,CLR,10,58,29,33,13,010,17,30.02,164,163,167,37.31,-77.19,5,91,292,08/11/04 12:56
MSP_ORD_50771,20040902,02/09/04 09:15,9,MSP,14922,0.0,CLR,10,82,62,51,8,220,0,29.06,871,838,874,44.53,-93.14,6,02/09/04 10:35,10,ORD,94846,0.0,SCT,10,81,62,53,7,230,0,29.44,655,674,658,41.59,-87.55,6,80,334,02/09/04 10:35
LGA_MDW_44434,20040906,06/09/04 09:10,9,LGA,14732,0.0,FEW,10,68,56,66,7,070,0,30.30,36,31,39,40.47,-73.53,5,06/09/04 10:28,10,MDW,14819,0.0,SCT,5,75,68,79,12,230,0,29.19,616,618,619,41.47,-87.45,6,138,725,06/09/04 10:28
CLT_IND_28708,20040919,19/09/04 12:15,12,CLT,13881,0.0,FEW,10,73,43,34,10,030,0,29.43,721,769,724,35.13,-80.56,5,19/09/04 12:49,12,IND,93819,0.0,FEW,10,73,49,43,7,060,0,29.50,794,808,797,39.43,-86.16,5,94,428,19/09/04 12:49
IAH_JAX_33801,20041122,22/11/04 16:05,16,IAH,12960,0.08,FEW,8,67,65,93,11,050,0,29.80,118,108,121,29.59,-95.22,6,22/11/04 19:25,19,JAX,13889,0.0,OVC,10,65,64,97,0,000,0,30.03,31,32,34,30.29,-81.41,5,140,817,22/11/04 19:25
BIS_MSP_50471,20040725,25/07/04 16:25,16,BIS,24011,0.0,CLR,10,86,43,22,17,160,0,28.37,1651,1660,1654,46.46,-100.45,6,25/07/04 17:42,17,MSP,14922,0.0,SCT,10,77,52,42,9,260,0,29.32,871,838,874,44.53,-93.14,6,77,386,25/07/04 17:42
MSY_MSP_44816,20040321,21/03/04 16:50,16,MSY,12916,0.0,FEW,10,71,44,38,7,350,0,30.17,4,20,7,29.59,-90.15,6,21/03/04 19:38,19,MSP,14922,0.0,FEW,10,26,4,38,5,330,0,29.55,871,838,874,44.53,-93.14,6,168,1040,21/03/04 19:38
BNA_SAN_49814,20040506,06/05/04 09:45,9,BNA,13897,0.0,FEW,10,79,55,44,7,250,17,29.56,571,605,574,36.07,-86.41,6,06/05/04 12:15,12,SAN,23188,0.0,FEW,10,77,58,52,14,310,0,29.92,78,28,81,32.44,-117.1,8,270,1751,06/05/04 12:15
ROC_JFK_28863,20040714,14/07/04 08:40,8,ROC,14768,0.0,SCT,7,66,65,96,6,160,0,28.94,585,555,588,43.07,-77.41,5,14/07/04 09:50,9,JFK,94789,0.0,OVC,10,69,64,84,5,010,0,29.69,29,22,32,40.4,-73.48,5,70,264,14/07/04 10:33
ORD_PHL_47479,20041110,10/11/04 12:00,12,ORD,94846,0.0,SCT,10,60,43,53,10,210,0,29.38,655,674,658,41.59,-87.55,6,10/11/04 14:57,14,PHL,13739,0.0,BKN,10,46,21,37,7,200,0,30.51,59,28,62,39.52,-75.14,5,117,678,10/11/04 14:57
COD_SLC_46986,20040525,25/05/04 06:10,6,COD,24045,0.0,OVC,10,39,30,70,3,140,0,30.03,0,0,0,44.37,-108.58,7,25/05/04 07:36,7,SLC,24127,0.0,SCT,10,54,36,51,6,160,0,25.66,4221,4227,4224,40.47,-111.58,7,86,298,25/05/04 07:36
CVG_GRR_43406,20040731,31/07/04 17:30,17,CVG,93814,0.0,SCT,10,81,67,62,8,300,0,29.02,882,883,885,39.02,-84.4,5,31/07/04 18:32,18,GRR,94860,0.0,FEW,10,73,55,53,9,280,0,29.12,785,803,788,42.53,-85.31,5,62,268,31/07/04 21:17
LAX_OAK_35659,20040303,03/03/04 17:00,17,LAX,23174,0.0,SCT,10,64,46,52,14,280,0,29.46,323,326,326,33.56,-118.25,8,03/03/04 18:15,18,OAK,23230,0.0,FEW,10,52,48,86,3,280,0,29.91,85,88,88,37.43,-122.13,8,75,337,03/03/04 18:15
CVG_CID_31698,20041103,03/11/04 09:45,9,CVG,93814,0.0,OVC,10,47,40,77,12,060,0,29.30,882,883,885,39.02,-84.4,5,03/11/04 10:12,10,CID,14990,0.0,OVC,10,47,35,63,13,120,0,29.30,867,871,870,41.53,-91.43,6,87,419,03/11/04 10:12
PHL_IAH_39507,20041107,07/11/04 13:45,13,PHL,13739,0.0,FEW,10,69,43,39,16,200,0,29.79,59,28,62,39.52,-75.14,5,07/11/04 16:24,16,IAH,12960,0.0,SCT,10,76,54,47,0,000,0,29.96,118,108,121,29.59,-95.22,6,219,1324,07/11/04 16:24
SNA_IAH_47951,20041123,23/11/04 14:20,14,SNA,93184,0.0,SCT,10,62,48,60,8,200,0,30.01,49,55,52,33.41,-117.52,8,23/11/04 19:35,19,IAH,12960,0.0,BKN,10,77,70,79,12,200,19,29.49,118,108,121,29.59,-95.22,6,195,1347,23/11/04 19:35
RIC_IAH_44405,20040913,13/09/04 14:48,14,RIC,13740,0.0,SCT,9,81,64,57,6,070,0,29.98,164,163,167,37.31,-77.19,5,13/09/04 16:50,16,IAH,12960,0.0,FEW,7,82,77,85,8,110,0,29.73,118,108,121,29.59,-95.22,6,182,1157,13/09/04 19:32
DTW_CVG_40387,20040102,02/01/04 07:00,7,DTW,94847,0.0,SCT,2,45,45,100,8,200,0,29.30,628,664,631,42.13,-83.21,5,02/01/04 08:11,8,CVG,93814,0.0,OVC,1.5,51,50,96,7,200,0,29.13,882,883,885,39.02,-84.4,5,71,229,02/01/04 09:31
SAN_SJC_37596,20040530,30/05/04 15:10,15,SAN,23188,0.0,CLR,10,73,58,59,7,300,0,29.85,78,28,81,32.44,-117.1,8,30/05/04 16:30,16,SJC,23293,0.0,CLR,10,74,51,45,14,330,0,29.89,87,50,90,37.22,-121.56,8,80,417,30/05/04 16:30
MCO_BUF_33190,20040331,31/03/04 10:30,10,MCO,12815,0.0,FEW,10,75,47,37,13,270,0,29.88,95,106,98,28.26,-81.19,5,31/03/04 13:00,13,BUF,14733,0.0,SCT,10,49,43,80,8,010,0,29.09,714,705,717,42.56,-78.44,5,150,1011,31/03/04 13:00
GSO_LGA_36479,20041121,21/11/04 12:49,12,GSO,13723,0.0,FEW,10,67,51,57,0,000,0,29.26,904,886,907,36.06,-79.56,5,21/11/04 14:29,14,LGA,14732,0.0,OVC,3,51,49,92,5,080,0,30.14,36,31,39,40.47,-73.53,5,100,461,21/11/04 14:29
LAS_RNO_33921,20040325,25/03/04 09:30,9,LAS,23169,0.0,CLR,10,71,26,19,0,000,0,27.71,2127,2180,2091,36.05,-115.1,8,25/03/04 10:50,10,RNO,23185,0.0,SCT,10,55,22,28,22,170,29,25.46,4404,4400,4407,39.29,-119.46,8,80,345,25/03/04 10:50
MSP_EWR_45518,20040515,15/05/04 09:45,9,MSP,14922,0.0,BKN,10,52,32,47,6,180,0,29.35,871,838,874,44.53,-93.14,6,15/05/04 13:19,13,EWR,14734,0.0,SCT,10,88,64,45,14,250,21,30.02,25,30,28,40.43,-74.1,5,154,1008,15/05/04 13:19
DEN_LAS_49205,20040525,25/05/04 14:57,14,DEN,3017,0.0,FEW,10,57,43,60,7,340,0,24.55,5379,5431,5382,39.5,-104.4,7,25/05/04 15:43,15,LAS,23169,0.0,FEW,10,88,37,16,10,210,18,27.47,2127,2180,2091,36.05,-115.1,8,106,629,25/05/04 15:43
OAK_LAS_31005,20041103,03/11/04 09:40,9,OAK,23230,0.0,FEW,10,57,42,58,10,310,0,30.03,85,88,88,37.43,-122.13,8,03/11/04 11:00,11,LAS,23169,0.0,FEW,10,60,24,25,5,100,0,27.81,2127,2180,2091,36.05,-115.1,8,80,407,03/11/04 11:00
SLC_LAS_26566,20040909,09/09/04 14:55,14,SLC,24127,0.0,FEW,10,90,30,12,7,310,0,25.66,4221,4227,4224,40.47,-111.58,7,09/09/04 15:15,15,LAS,23169,0.0,FEW,10,82,73,74,10,200,0,27.66,2127,2180,2091,36.05,-115.1,8,80,368,09/09/04 15:15
DFW_XNA_36137,20041118,18/11/04 08:45,8,DFW,3927,0.0,OVC,1,56,55,97,4,280,0,29.51,559,596,562,32.54,-97.02,6,18/11/04 09:53,9,XNA,53922,0.09,FEW,5,56,56,100,8,140,0,28.79,1269,1319,1272,36.17,-94.19,6,68,281,18/11/04 09:53
